flavor,Egg,Milk,Peanuts,Sesame,Soy,Tree Nuts,Wheat
Chocolate Layer Cake Ice Cream,Yes,Yes,No,No,Yes,No,Yes
Chocolate Malt Ice Cream,No,Yes,No,No,Yes,No,Yes
Chocolate Peanut Butter Ice Cream,No,Yes,Yes,No,No,No,No
Chocolate Pudding Ice Cream,No,Yes,No,No,No,No,No
Chocolate Raspberry Truffle Ice Cream,No,Yes,No,No,No,No,No
Chocolate Shavings,No,Yes,No,No,Yes,No,No
Chocolate Silk® Shake,No,No,No,No,No,Yes,No
Chocolate Sprinkles,No,Yes,No,No,Yes,No,No
Chocolate-Dipped Strawberry Ice Cream,No,Yes,No,No,Yes,No,No
Chunky CHIPS AHOY!® Cookies,No,Yes,No,No,Yes,No,Yes
Cinnamon Bun Batter Ice Cream,No,Yes,No,No,No,No,Yes
Cinnamon Ice Cream,No,Yes,No,No,No,No,No
Circus Animal Cookies Ice Cream,No,Yes,No,No,Yes,No,Yes
Classic Cookie Dough Ice Cream,No,Yes,No,No,No,No,Yes
Coconut,No,No,No,No,No,Yes,No
Coconut Ice Cream,No,Yes,No,No,No,No,No
Coffee Ice Cream,No,Yes,No,No,No,No,No
Coffeehouse Crunch™,Yes,Yes,No,No,Yes,Yes,Yes
Cookie Butter Ice Cream,No,Yes,No,No,Yes,No,Yes
Cookie Crumb Yum,Yes,Yes,No,No,Yes,No,Yes
Cookie Dough - RTE,No,Yes,No,No,Yes,No,Yes
Cookie Dough Delirium™,Yes,Yes,No,No,Yes,No,Yes
Cookie Dough Pie™,No,Yes,No,No,Yes,No,Yes
Cookies & Creamery™,Yes,Yes,No,No,Yes,No,Yes
Cotton Candy Ice Cream,No,Yes,No,No,No,No,No
Countrytime® Pink Lemonade Sorbet,No,No,No,No,Yes,No,No
Cream Cheese Frosting,No,Yes,No,No,No,No,No
Crunch Bar®,No,Yes,Yes,No,Yes,Yes,Yes
Dark Chocolate Ice Cream,No,Yes,No,No,No,No,No
Dark Chocolate Peppermint Ice Cream,No,Yes,No,No,No,No,No
Devil's Food Cake,Yes,Yes,No,No,Yes,No,Yes
Dipped Dough,No,Yes,No,No,Yes,No,Yes
Double Chocolate Devotion™,Yes,Yes,No,No,Yes,No,Yes
Double Stuf OREO®,No,Yes,No,No,Yes,No,Yes
Dulce De Leche Ice Cream,No,Yes,No,No,No,No,No
Eggnog Ice Cream,Yes,Yes,No,No,No,No,No
French Vanilla Ice Cream,Yes,Yes,No,No,No,No,No
Frosting,No,Yes,No,No,Yes,No,No
Frozen Hot Chocolate Ice Cream,No,Yes,No,No,Yes,No,Yes
Fudge,No,Yes,No,No,No,No,No
Fudge Brownie Batter Ice Cream,Yes,Yes,No,No,Yes,No,Yes
Fudge Mint Cookie Ice Cream,No,Yes,No,No,Yes,No,Yes
Fudge Truffle Ice Cream,No,Yes,No,No,No,No,No
Ganache Frosting,No,Yes,No,No,Yes,No,No
Ghirardelli® Caramel Square,No,Yes,No,No,Yes,No,No
Ghirardelli® Chocolate Ice Cream,No,Yes,No,No,No,No,No
Golden OREO ® Cookies,No,No,No,No,Yes,No,Yes
Golden OREO® Cookie Ice Cream,No,Yes,No,No,Yes,No,Yes
Gooey Butter Cake Ice Cream,Yes,Yes,No,No,No,No,Yes
Graham Cracker Pie Crust,No,No,No,No,Yes,No,Yes
Granola,No,Yes,Yes,No,Yes,Yes,Yes
Gumballs,No,No,No,No,Yes,No,No
Halloween OREO® Cookies,No,No,No,No,Yes,No,Yes
Heath® Bar,No,Yes,No,No,Yes,Yes,No
JELL-O® Banana Cream Pudding Ice Cream,No,Yes,No,No,No,No,No
Key Lime Ice Cream,Yes,Yes,No,No,Yes,No,No
Kiss and Tell Chocolate,Yes,Yes,No,No,Yes,No,Yes
KIT KAT®,No,Yes,No,No,Yes,No,Yes
Lucky Charms™ Ice Cream,No,Yes,No,No,No,No,No
M&M'S®,No,Yes,Yes,No,Yes,No,No
Macadamia,No,No,No,No,No,Yes,No
Mango Ice Cream,No,Yes,No,No,No,No,No
Mango Pineapple,No,Yes,No,No,Yes,No,No
Marbled Cake Batter™ Ice Cream,No,Yes,No,No,No,No,Yes
Marshmallow Crème,Yes,No,No,No,No,No,No
Marshmallow Ice Cream,No,Yes,No,No,No,No,No
Midnight Delight®,Yes,Yes,No,No,Yes,No,Yes
Milk & Cookies Ice Cream,No,Yes,No,No,Yes,No,Yes
Milk & OREO® Cookies,No,Yes,No,No,Yes,No,Yes
Mint Ice Cream,No,Yes,No,No,No,No,No
Mmmmmmint Chip™,Yes,Yes,No,No,Yes,No,Yes
Mocha Ice Cream,No,Yes,No,No,No,No,No
Mojito Sorbet,No,No,No,No,Yes,No,No
Mother's® Circus Animal Cookies,No,Yes,No,No,Yes,No,Yes
NILLA® Wafers,Yes,Yes,No,No,Yes,No,Yes
Nutella®,No,Yes,No,No,Yes,Yes,No
Oatmeal Cookie Batter Ice Cream,No,Yes,No,No,No,No,No
Oh Fudge!,No,Yes,No,No,No,No,No
Orange Dreamsicle Ice Cream,No,Yes,No,No,No,No,No
OREO ® Crème Ice Cream,No,Yes,No,No,Yes,No,Yes
OREO® Cookie Bettercreme®,No,Yes,No,No,Yes,No,Yes
OREO® Cookies,No,No,No,No,Yes,No,Yes
OREO® Cookies & Cream Extreme,Yes,Yes,No,No,Yes,No,Yes
Peach Ice Cream,No,Yes,No,No,No,No,No
Peanut Butter,No,No,Yes,No,Yes,No,No
Peanut Butter & Jelly Ice Cream,No,Yes,Yes,No,Yes,No,Yes
Peanut Butter Cookie Dough Ice Cream,No,Yes,Yes,No,No,No,Yes
Peanut Butter Ice Cream,No,Yes,Yes,No,No,No,No
Peanut Butter Playground™,Yes,Yes,Yes,No,Yes,No,Yes
Peanut M&M's®,No,Yes,Yes,No,Yes,No,No
Peanuts,No,No,Yes,No,No,No,No
Pecans,No,No,No,No,No,Yes,No
Peppermint Mocha Ice Cream,No,Yes,No,No,No,No,No
Perfect Duet,Yes,Yes,No,No,Yes,No,Yes
Pineapple Blueberry,No,Yes,No,No,Yes,No,No
Pineapple Upside Down Cake Ice Cream,No,Yes,No,No,Yes,No,Yes
Pistachio Ice Cream,No,Yes,No,No,No,No,No
Pistachio Pudding Ice Cream,No,Yes,No,No,No,Yes,No
Pistachios,No,No,No,No,No,Yes,No
Pretzels,No,No,No,No,No,No,Yes
Pumpkin Bread Batter Ice Cream,No,Yes,No,No,No,No,Yes
Pumpkin Cheesecake Ice Cream,No,Yes,No,No,No,No,No
Pumpkin Ice Cream,No,Yes,No,No,No,No,No
Pumpkin Pie,No,Yes,No,No,Yes,No,Yes
Rainbow Sprinkles,No,No,No,No,Yes,No,No
Raspberry Ice Cream,No,Yes,No,No,No,No,No
Raspberry Truffle Temptation™,Yes,Yes,No,No,Yes,No,Yes
Red Velvet Cake,Yes,Yes,No,No,Yes,No,Yes
Red Velvet Cake Batter™ Ice Cream,Yes,Yes,No,No,Yes,No,Yes
Red Velvet Cake Ice Cream,Yes,Yes,No,No,Yes,No,Yes
Reese's Chocolate Peanut Butter Dream,No,Yes,Yes,No,Yes,No,No
Reese's Peanut Butter Cup,No,Yes,Yes,No,Yes,No,No
Reese's Peanut Butter Cup Ice Cream,No,Yes,Yes,No,Yes,No,No
Reese's Peanut Butter Ice Cream Cups,No,Yes,Yes,No,Yes,No,No
Reese's Peanut Butter Sauce,No,No,Yes,No,Yes,No,No
Reese's Pieces,No,Yes,Yes,No,Yes,No,No
Rich & Dreamy™,Yes,Yes,Yes,No,Yes,No,Yes
Rich's® On Top® Whipped Topping,No,Yes,No,No,No,No,No
Roasted Almonds,No,No,No,No,No,Yes,No
Rum Raisin Ice Cream,No,Yes,No,No,No,No,No
S'more Some More Pie,No,Yes,No,No,Yes,No,Yes
Salted Caramel Ice Cream,Yes,Yes,No,No,No,No,No
Salted Chocolate Caramel Ice Cream,Yes,Yes,No,No,Yes,No,No
Savory Strawberry,No,Yes,No,No,No,No,No
Sea Salt Fudge Ice Cream,No,Yes,No,No,No,No,No
Sea Salt Sweet Cream Ice Cream,No,Yes,No,No,No,No,No
Sea Salt Vanilla Bean Ice Cream,No,Yes,No,No,No,No,No
Silk® Chocolate Almondmilk,No,No,No,No,No,Yes,No
Sliced Almonds,No,No,No,No,No,Yes,No
Snickerdoodle Cookie Ice Cream,No,Yes,No,No,No,No,Yes
Snickers®,Yes,Yes,Yes,No,Yes,Yes,No
Strawberry Banana,No,Yes,No,No,Yes,No,No
Strawberry Cake Batter™ Ice Cream,No,Yes,No,No,No,No,Yes
Strawberry Cheesecake Ice Cream,No,Yes,No,No,No,No,No
Strawberry Ice Cream,No,Yes,No,No,No,No,No
Strawberry Mango,No,Yes,No,No,Yes,No,No
Strawberry Passion™,Yes,Yes,No,No,Yes,No,Yes
Strawberry Shortcake Ice Cream,Yes,Yes,No,No,Yes,No,Yes
Sugar Cone,No,No,No,No,Yes,No,Yes
Sweet Cream,Yes,Yes,No,No,Yes,No,Yes
Sweet Cream Ice Cream,No,Yes,No,No,No,No,No
"Tall, Dark & Delicious™",Yes,Yes,No,No,Yes,No,Yes
Toasted Coconut,No,Yes,No,No,No,Yes,No
TWIX®,No,Yes,Yes,No,Yes,No,Yes
Vanilla Bean Ice Cream,No,Yes,No,No,No,No,No
Vanilla Bettercreme,No,Yes,No,No,Yes,No,No
Very Vanilla,Yes,Yes,No,No,No,No,No
Waffle Chips,Yes,Yes,No,No,No,No,Yes
Waffle Cone or Bowl,Yes,Yes,No,No,No,No,Yes
Walnuts,No,No,No,No,No,Yes,No
White Chocolate Chips,No,Yes,No,No,Yes,No,No
Who You Callin' Shortcake?™,Yes,Yes,No,No,Yes,No,Yes
Whoppers,No,Yes,No,No,Yes,No,Yes
Yellow Cake,Yes,Yes,No,No,Yes,No,Yes
YORK® Peppermint Patties,Yes,Yes,No,No,Yes,No,No
